learning_rate,weight_decay,best_epoch,best_val_accuracy,checkpoint
0.0003,1e-05,27,0.9375,../experiments/checkpoints/e6_wd_1e-05.pt
0.0003,0.0001,24,0.9415760869565217,../experiments/checkpoints/e6_wd_1e-04.pt
0.0003,0.001,28,0.9402173913043478,../experiments/checkpoints/e6_wd_1e-03.pt
